trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
80,0,1,1,0,1,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.47999999999999998,0.35999999999999999,0.0,False
81,0,1,1,0,1,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.47999999999999998,0.35999999999999999,0.0,False
82,0,1,1,0,1,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.47999999999999998,0.35999999999999999,0.0,False
83,0,1,1,0,1,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.47999999999999998,0.35999999999999999,0.0,False
84,0,1,1,0,0,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.47999999999999998,0.35999999999999999,0.0,True
85,0,1,1,0,0,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.47999999999999998,0.35999999999999999,0.0,True
86,0,1,1,0,0,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.47999999999999998,0.35999999999999999,0.0,True
87,0,1,1,1,0,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.47999999999999998,0.64000000000000001,1.0,False
88,0,1,1,1,0,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.47999999999999998,0.64000000000000001,1.0,False
89,0,1,1,1,0,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.47999999999999998,0.64000000000000001,1.0,False
90,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.64000000000000001,1.0,False
91,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.64000000000000001,1.0,False
92,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.64000000000000001,1.0,False
93,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.64000000000000001,1.0,False
94,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.16000000000000003,0.64000000000000001,1.0,False
95,1,1,1,0,1,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.16000000000000003,0.64000000000000001,1.0,False
96,1,1,1,0,0,0.40000000000000002,0.80000000000000004,0.40000000000000002,0.16000000000000003,0.35999999999999999,0.0,True
97,1,1,1,0,0,0.40000000000000002,0.80000000000000004,0.40000000000000002,0.16000000000000003,0.35999999999999999,0.0,True
98,1,1,1,1,0,0.40000000000000002,0.20000000000000001,0.40000000000000002,0.16000000000000003,0.35999999999999999,0.0,False
99,1,1,1,1,0,0.40000000000000002,0.20000000000000001,0.40000000000000002,0.16000000000000003,0.35999999999999999,0.0,False
